,name,min salary,max salary,currency,vac_link,site
54,Швея,60000,,руб.,https://www.superjob.ru/vakansii/shveya-44430529.html,https://www.superjob.ru
55,Швея,,130000,руб.,https://www.superjob.ru/vakansii/shveya-44556705.html,https://www.superjob.ru
56,"Раскройщик, Швея",60000,,руб.,https://www.superjob.ru/vakansii/raskrojschik-44489015.html,https://www.superjob.ru
57,Швея,60000,,руб.,https://www.superjob.ru/vakansii/shveya-44548628.html,https://www.superjob.ru
58,Швея-закройщица на мягкую мебель,60000,100000,руб.,https://www.superjob.ru/vakansii/shveya-zakrojschica-na-myagkuyu-mebel-44487790.html,https://www.superjob.ru
59,Швея,,150000,руб.,https://www.superjob.ru/vakansii/shveya-44481940.html,https://www.superjob.ru
60,Швея,,146025,руб.,https://www.superjob.ru/vakansii/shveya-44409241.html,https://www.superjob.ru
61,Швея / Портной (женская одежда),90000,,руб.,https://www.superjob.ru/vakansii/shveya-44475740.html,https://www.superjob.ru
62,Швея,,104000,руб.,https://www.superjob.ru/vakansii/shveya-44595050.html,https://www.superjob.ru
63,Швея,,90000,руб.,https://www.superjob.ru/vakansii/shveya-44529017.html,https://www.superjob.ru
64,Швея-ручница/ручник в швейный цех,,50000,руб.,https://www.superjob.ru/vakansii/shveya-ruchnica-44470598.html,https://www.superjob.ru
65,Швея,70000,,руб.,https://www.superjob.ru/vakansii/shveya-44593208.html,https://www.superjob.ru
66,Швея,90000,120000,руб.,https://www.superjob.ru/vakansii/shveya-44399281.html,https://www.superjob.ru
67,Швея,,110000,руб.,https://www.superjob.ru/vakansii/shveya-44463352.html,https://www.superjob.ru
68,Портной по шторам,,100000,руб.,https://www.superjob.ru/vakansii/portnoj-po-shtoram-44580213.html,https://www.superjob.ru
69,Портная/Портной,80000,130000,руб.,https://www.superjob.ru/vakansii/portnaya-37408313.html,https://www.superjob.ru
70,Закройщик на шторы,50000,55000,руб.,https://www.superjob.ru/vakansii/zakrojschik-na-shtory-44380650.html,https://www.superjob.ru
71,Портной,70000,,руб.,https://www.superjob.ru/vakansii/portnoj-44400262.html,https://www.superjob.ru
72,Портной-универсал,65000,110000,руб.,https://www.superjob.ru/vakansii/portnoj-universal-44513838.html,https://www.superjob.ru
73,Портной-стилист мужской одежды,60000,,руб.,https://www.superjob.ru/vakansii/portnoj-stilist-muzhskoj-odezhdy-43615338.html,https://www.superjob.ru
74,Закройщик по пошиву форменной одежды,25000,30000,руб.,https://www.superjob.ru/vakansii/zakrojschik-po-poshivu-formennoj-odezhdy-43870859.html,https://www.superjob.ru
75,Портной-лаборант,60000,,руб.,https://www.superjob.ru/vakansii/portnoj-laborant-44566830.html,https://www.superjob.ru
76,Закройщик-раскройщик,65000,,руб.,https://www.superjob.ru/vakansii/zakrojschik-raskrojschik-31815944.html,https://www.superjob.ru
77,Портной,60000,80000,руб.,https://www.superjob.ru/vakansii/portnoj-44566189.html,https://www.superjob.ru
78,Мастер по ремонту одежды в ателье,40000,,руб.,https://www.superjob.ru/vakansii/master-po-remontu-odezhdy-v-atele-34014853.html,https://www.superjob.ru
79,Портной / Портная,50000,60000,руб.,https://www.superjob.ru/vakansii/portnoj-44496494.html,https://www.superjob.ru
80,Закройщик-технолог,80000,,руб.,https://www.superjob.ru/vakansii/zakrojschik-tehnolog-44382838.html,https://www.superjob.ru
81,Продавец-портной (ТЦ Ереван Плаза),50000,,руб.,https://www.superjob.ru/vakansii/prodavec-portnoj-44575139.html,https://www.superjob.ru
82,Портной,50000,,руб.,https://www.superjob.ru/vakansii/portnoj-44443981.html,https://www.superjob.ru
83,Закройщик,70000,100000,руб.,https://www.superjob.ru/vakansii/zakrojschik-33575116.html,https://www.superjob.ru
84,Закройщик / Раскройщик в экспериментальный цех,,,,https://www.superjob.ru/vakansii/zakrojschik-25941052.html,https://www.superjob.ru
85,Портной-универсал,60000,,руб.,https://www.superjob.ru/vakansii/portnoj-universal-38715465.html,https://www.superjob.ru
86,Портной-лаборант,50000,,руб.,https://www.superjob.ru/vakansii/portnoj-laborant-43988864.html,https://www.superjob.ru
87,Портной,65000,,руб.,https://www.superjob.ru/vakansii/portnoj-39695130.html,https://www.superjob.ru
88,Портной-лаборант,60000,,руб.,https://www.superjob.ru/vakansii/portnoj-laborant-44543291.html,https://www.superjob.ru
89,Портной-универсал,100000,150000,руб.,https://www.superjob.ru/vakansii/portnoj-universal-44538952.html,https://www.superjob.ru
90,"Дизайнер-оператор машинной вышивки, вышивальщица",45000,55000,руб.,https://www.superjob.ru/vakansii/dizajner-operator-mashinnoj-vyshivki-30704734.html,https://www.superjob.ru
91,Портная-универсал,60000,100000,руб.,https://www.superjob.ru/vakansii/portnaya-universal-44527276.html,https://www.superjob.ru
92,Портной по пошиву форменной одежды (брюки),25000,28000,руб.,https://www.superjob.ru/vakansii/portnoj-po-poshivu-formennoj-odezhdy-43155590.html,https://www.superjob.ru
93,"Портной по меху, коже, дублёнкам, тканям (Мастер по ремонту одежды)",80000,,руб.,https://www.superjob.ru/vakansii/portnoj-po-mehu-44587817.html,https://www.superjob.ru
94,Портной,75000,90000,руб.,https://www.superjob.ru/vakansii/portnoj-10810284.html,https://www.superjob.ru
95,Портной/Мастер по ремонту одежды и пошиву текстиля,,90000,руб.,https://www.superjob.ru/vakansii/portnoj-44588851.html,https://www.superjob.ru
96,Закройщик женской одежды,70000,90000,руб.,https://www.superjob.ru/vakansii/zakrojschik-zhenskoj-odezhdy-44583654.html,https://www.superjob.ru
