,name,min salary,max salary,currency,vac_link,site
45,Швея. Трикотажное нижнее белье,50000,65000,руб.,https://hh.ru/vacancy/69100413?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
46,Швея-портной,80000,100000,руб.,https://hh.ru/vacancy/69678770?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
47,Швея,50000,80000,руб.,https://hh.ru/vacancy/54007435?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
48,Швея,60000,100000,руб.,https://hh.ru/vacancy/69049275?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
49,Швея по коже,,,,https://hh.ru/vacancy/68220373?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
50,Швея,65000,100000,руб.,https://hh.ru/vacancy/68076427?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
51,Швея,80000,100000,руб.,https://hh.ru/vacancy/69453093?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
52,Швея-портной женской одежды,60000,100000,руб.,https://hh.ru/vacancy/69439395?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
53,Швея,,,,https://hh.ru/vacancy/68683320?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
54,Швея-портной,50000,120000,руб.,https://hh.ru/vacancy/68697076?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
55,Швея,55000,60000,руб.,https://hh.ru/vacancy/69185471?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
56,Швея-портной,50000,90000,руб.,https://hh.ru/vacancy/69503288?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
57,Швея,25000,35000,руб.,https://hh.ru/vacancy/69661778?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
58,Швея-портной,70000,80000,руб.,https://hh.ru/vacancy/69679119?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
59,Швея,60000,120000,руб.,https://hh.ru/vacancy/68571014?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
60,Швея-портной,70000,80000,руб.,https://hh.ru/vacancy/69684803?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
61,Швея,50000,,руб.,https://hh.ru/vacancy/68976889?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
62,Швея - универсал,70000,80000,руб.,https://hh.ru/vacancy/69698555?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
63,Швея-портной,70000,150000,руб.,https://hh.ru/vacancy/68398467?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
64,Швея-портной (швея),70000,90000,руб.,https://hh.ru/vacancy/69683271?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
65,Швея,55000,,руб.,https://hh.ru/vacancy/69142555?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
66,Швея-портной,70000,,руб.,https://hh.ru/vacancy/69265436?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
67,Швея,50000,,руб.,https://hh.ru/vacancy/69540886?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
68,Швея,60000,,руб.,https://hh.ru/vacancy/68896583?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
69,Швея-портная/протной (универсал),45000,,руб.,https://hh.ru/vacancy/69679579?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
70,Швея/Портная/Портной,,,,https://hh.ru/vacancy/69593545?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
71,Швея-портной,60000,,руб.,https://hh.ru/vacancy/69649191?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
72,Швея (Москва),50000,110000,руб.,https://hh.ru/vacancy/69708532?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
73,Швея,60000,,руб.,https://hh.ru/vacancy/67490683?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
74,Швея,,90000,руб.,https://hh.ru/vacancy/68797571?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
75,Швея-декоратор,50000,,руб.,https://hh.ru/vacancy/69185150?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
76,Швея,70000,90000,руб.,https://hh.ru/vacancy/68792440?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
77,Швея,30000,50000,руб.,https://hh.ru/vacancy/69676191?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
78,Швея,52000,104000,руб.,https://hh.ru/vacancy/69548401?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
79,Швея-портной,85000,,руб.,https://hh.ru/vacancy/69317528?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
80,Швея,50000,,руб.,https://hh.ru/vacancy/69705879?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
81,Швея-портной,60000,,руб.,https://hh.ru/vacancy/69102534?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
82,Швея-портной,80000,90000,руб.,https://hh.ru/vacancy/69630967?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
83,Швея. Трикотажное нижнее белье,50000,65000,руб.,https://hh.ru/vacancy/69100413?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
84,Швея-портной,55000,75000,руб.,https://hh.ru/vacancy/69665873?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
85,Швея,60000,,руб.,https://hh.ru/vacancy/68944051?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
86,Швея,,80000,руб.,https://hh.ru/vacancy/67331357?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
87,Швея,40000,,руб.,https://hh.ru/vacancy/69531455?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
88,Швея (машинная и ручная вышивка),,,,https://hh.ru/vacancy/69707290?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
89,Швея-портной,42000,,руб.,https://hh.ru/vacancy/49497973?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
90,Швея-портной,,100000,руб.,https://hh.ru/vacancy/68845227?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
91,Швея-портной,70000,100000,руб.,https://hh.ru/vacancy/69427852?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
92,Швея на самозакрой,45000,90000,руб.,https://hh.ru/vacancy/68837700?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
93,Швея,50000,,руб.,https://hh.ru/vacancy/68172453?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
94,Швея,,60000,руб.,https://hh.ru/vacancy/69134012?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
95,Швея,85000,95000,руб.,https://hh.ru/vacancy/69268185?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
96,Швея-портной,70000,90000,руб.,https://hh.ru/vacancy/69298406?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
97,Швея-портной универсал,50000,95000,руб.,https://hh.ru/vacancy/69489334?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
98,Швея-портной,40000,95000,руб.,https://hh.ru/vacancy/68977671?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
99,Швея,45000,60000,руб.,https://hh.ru/vacancy/69703144?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
100,Швея-универсал,80000,,руб.,https://hh.ru/vacancy/69496440?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
